finding,axis,subgroup,n_samples,n_positive,prevalence,AUROC,AUROC_CI_low,AUROC_CI_high,sensitivity,specificity,reliable
Cardiomegaly,view_position,AP,1298,65,0.05007703974843025,0.8113544201135443,0.7625814298519643,0.8519724265869538,0.2153846153846154,0.9391727493917275,True
Atelectasis,sex,Male,1853,220,0.11872638761997223,0.8072231809831321,0.779322550994663,0.8341878801853542,0.5363636363636364,0.8420085731781997,True
Atelectasis,sex,Female,1484,168,0.11320754885673523,0.7937744246634824,0.7596856946509116,0.8258093394344773,0.40476190476190477,0.898176291793313,True
Atelectasis,age_group,60-79,911,133,0.1459934115409851,0.8125132883622939,0.7761949672332732,0.8440239744629692,0.5939849624060151,0.8226221079691517,True
Atelectasis,age_group,40-59,1549,174,0.11233053356409073,0.7885308254963428,0.7557918054217245,0.8211468010215253,0.47701149425287354,0.858909090909091,True
Atelectasis,age_group,80+,66,14,0.21212121844291687,0.739010989010989,0.5850710311672879,0.8713495979532164,0.5,0.75,True
Atelectasis,age_group,20-39,623,40,0.06420546025037766,0.8511578044596912,0.8047157349895041,0.8971076565143825,0.4,0.9296740994854202,True
Atelectasis,age_group,0-19,188,27,0.14361701905727386,0.7435012652403956,0.6490409581997704,0.8266752209865982,0.037037037037037035,0.9627329192546584,True
Atelectasis,view_position,PA,2039,175,0.08582638204097748,0.8318638871857756,0.8038172640449073,0.8586235670362096,0.44571428571428573,0.9109442060085837,True
Atelectasis,view_position,AP,1298,213,0.1640986204147339,0.7371843967027973,0.7036540837608896,0.7716620187801382,0.5070422535211268,0.791705069124424,True
Infiltration,sex,Male,1853,411,0.2218024879693985,0.6961969891776426,0.6660803260857519,0.7268367259093943,0.19708029197080293,0.9500693481276006,True
Infiltration,sex,Female,1484,319,0.21495956182479858,0.6523228436503559,0.6172227094832531,0.6903357033151893,0.2413793103448276,0.91931330472103,True
Infiltration,age_group,60-79,911,224,0.24588364362716675,0.7182041484716157,0.6814187519044065,0.756280401097429,0.28125,0.9344978165938864,True
Infiltration,age_group,40-59,1549,324,0.20916719734668732,0.6473683547493072,0.6149304804478909,0.6826076652031996,0.16666666666666666,0.9281632653061225,True
Infiltration,age_group,80+,66,10,0.1515151560306549,0.6375000000000001,0.462438710653753,0.8159828995157384,0.0,0.9464285714285714,True
Infiltration,age_group,20-39,623,124,0.19903691112995148,0.687455556273838,0.6324385289276813,0.7448759987596351,0.18548387096774194,0.9739478957915831,True
Infiltration,age_group,0-19,188,48,0.25531914830207825,0.7343750000000001,0.655397439176921,0.8117262103705118,0.375,0.8785714285714286,True
Infiltration,view_position,PA,2039,347,0.17018146812915802,0.5860618881190345,0.5539798908930176,0.6199011596645855,0.020172910662824207,0.9899527186761229,True
Infiltration,view_position,AP,1298,383,0.2950693368911743,0.713360156372612,0.6844936385793567,0.7432345644571511,0.39425587467362927,0.8371584699453551,True
Pneumothorax,sex,Male,1853,68,0.03669724613428116,0.7491102323282255,0.6852425485313116,0.8064685136294606,0.3235294117647059,0.9663865546218487,True
Pneumothorax,sex,Female,1484,63,0.04245283082127571,0.8437161399863722,0.7737498817636138,0.8998110082720684,0.4603174603174603,0.956368754398311,True
Pneumothorax,age_group,60-79,911,47,0.051591657102108,0.7919129235618597,0.7095318928185451,0.8716702389114172,0.40425531914893614,0.9675925925925926,True
Pneumothorax,age_group,40-59,1549,50,0.032278887927532196,0.8166777851901268,0.7433702395395462,0.8831490893956211,0.4,0.9559706470980653,True
Pneumothorax,age_group,80+,66,1,0.01515151560306549,0.07692307692307687,0.01538461538461533,0.1390564903846153,0.0,0.9384615384615385,False
Pneumothorax,age_group,20-39,623,26,0.041733548045158386,0.8435768586522355,0.7526589542034045,0.9223553546066247,0.46153846153846156,0.9614740368509213,True
Pneumothorax,age_group,0-19,188,7,0.03723404183983803,0.6393054459352802,0.3885605225455544,0.858094909234412,0.0,0.994475138121547,False
Pneumothorax,view_position,PA,2039,94,0.046101029962301254,0.8311218071432478,0.7793310944611643,0.87653563369936,0.4574468085106383,0.9547557840616967,True
Pneumothorax,view_position,AP,1298,37,0.028505392372608185,0.6801551750005357,0.5780382557441512,0.7731711662581479,0.21621621621621623,0.9730372720063442,True
